mz,composition
2536.7441,Gc_21+Sx2
2522.8884,Gc_22
2668.9463,Gc_22+Fuc
2815.0042,Gc_22+Fucx2
2961.0621,Gc_22+Fucx3
3107.12,Gc_22+Fucx4
2602.8452,Gc_22+S
2682.802,Gc_22+Sx2
2480.8414,Gc_23
2560.7982,Gc_23+S
2640.755,Gc_23+Sx2
2626.8993,Gc_24
2772.9572,Gc_24+Fuc
2919.0151,Gc_24+Fucx2
3065.073,Gc_24+Fucx3
2706.8561,Gc_24+S
2786.8129,Gc_24+Sx2
2538.8833,Gc_25
2618.8401,Gc_25+S
2698.7969,Gc_25+Sx2
2684.9412,Gc_26
2830.9991,Gc_26+Fuc
2977.057,Gc_26+Fucx2
3123.1149,Gc_26+Fucx3
3269.1728,Gc_26+Fucx4
2764.898,Gc_26+S
2844.8548,Gc_26+Sx2
2642.8943,Gc_27
2722.8511,Gc_27+S
2802.8079,Gc_27+Sx2
2788.9522,Gc_28
2935.0101,Gc_28+Fuc
3081.068,Gc_28+Fucx2
3227.1259,Gc_28+Fucx3
2868.909,Gc_28+S
2948.8658,Gc_28+Sx2
2772.9572,Gc_29
2919.0151,Gc_29+Fuc
3065.073,Gc_29+Fucx2
3211.1309,Gc_29+Fucx3
2852.914,Gc_29+S
2932.8708,Gc_29+Sx2
1970.6717,Gc_3
2050.6285,Gc_3+S
2130.5853,Gc_3+Sx2
2667.9259,Gc_30
2747.8827,Gc_30+S
2827.8395,Gc_30+Sx2
2813.9838,Gc_31
2960.0417,Gc_31+Fuc
3106.0996,Gc_31+Fucx2
3252.1575,Gc_31+Fucx3
3398.2154,Gc_31+Fucx4
2893.9406,Gc_31+S
2973.8974,Gc_31+Sx2
2683.9208,Gc_32
2763.8776,Gc_32+S
2843.8344,Gc_32+Sx2
2829.9787,Gc_33
2976.0366,Gc_33+Fuc
3122.0945,Gc_33+Fucx2
3268.1524,Gc_33+Fucx3
3414.2103,Gc_33+Fucx4
2909.9355,Gc_33+S
2989.8923,Gc_33+Sx2
2700.9361,Gc_34
2780.8929,Gc_34+S
2860.8497,Gc_34+Sx2
2846.994,Gc_35
2993.0519,Gc_35+Fuc
3139.1098,Gc_35+Fucx2
