mz,composition
2873.9427,Gc_33+Na*2
3020.0006,Gc_33+Fuc+Na*2
3166.0585,Gc_33+Fucx2+Na*2
3312.1164,Gc_33+Fucx3+Na*2
3458.1743,Gc_33+Fucx4+Na*2
2953.8995,Gc_33+S+Na*2
3033.8563,Gc_33+Sx2+Na*2
3020.0006,Gc_36+Na*2
3166.0585,Gc_36+Fuc+Na*2
3312.1164,Gc_36+Fucx2+Na*2
3458.1743,Gc_36+Fucx3+Na*2
3604.2322,Gc_36+Fucx4+Na*2
3099.9574,Gc_36+S+Na*2
3179.9142,Gc_36+Sx2+Na*2
2961.9588,Gc_37+Na*2
3121.8724,Gc_37+Sx2+Na*2
3108.0167,Gc_38+Na*2
3254.0746,Gc_38+Fuc+Na*2
3400.1325,Gc_38+Fucx2+Na*2
3546.1904,Gc_38+Fucx3+Na*2
3187.9735,Gc_38+S+Na*2
3267.9303,Gc_38+Sx2+Na*2
3327.0909,Gc_39+Na*2
3473.1488,Gc_39+Fuc+Na*2
3619.2067,Gc_39+Fucx2+Na*2
3911.3225,Gc_39+Fucx4+Na*2
3407.0477,Gc_39+S+Na*2
3487.0045,Gc_39+Sx2+Na*2
3473.1489,Gc_40+Na*2
3619.2068,Gc_40+Fuc+Na*2
3911.3226,Gc_40+Fucx3+Na*2
4057.3805,Gc_40+Fucx4+Na*2
3553.1057,Gc_40+S+Na*2
3633.0625,Gc_40+Sx2+Na*2
2889.9376,Gc_41+Na*2
2969.8944,Gc_41+S+Na*2
3049.8512,Gc_41+Sx2+Na*2
3035.9955,Gc_42+Na*2
3182.0534,Gc_42+Fuc+Na*2
3328.1113,Gc_42+Fucx2+Na*2
3474.1692,Gc_42+Fucx3+Na*2
3620.2271,Gc_42+Fucx4+Na*2
3115.9523,Gc_42+S+Na*2
3195.9091,Gc_42+Sx2+Na*2
2993.9486,Gc_43+Na*2
3073.9054,Gc_43+S+Na*2
3153.8622,Gc_43+Sx2+Na*2
3140.0065,Gc_44+Na*2
3286.0644,Gc_44+Fuc+Na*2
3432.1223,Gc_44+Fucx2+Na*2
3578.1802,Gc_44+Fucx3+Na*2
3219.9633,Gc_44+S+Na*2
3299.9201,Gc_44+Sx2+Na*2
2977.9537,Gc_45+Na*2
3057.9105,Gc_45+S+Na*2
3137.8673,Gc_45+Sx2+Na*2
3124.0116,Gc_46+Na*2
3270.0695,Gc_46+Fuc+Na*2
3416.1274,Gc_46+Fucx2+Na*2
3562.1853,Gc_46+Fucx3+Na*2
3203.9684,Gc_46+S+Na*2
3283.9252,Gc_46+Sx2+Na*2
3182.0534,Gc_47+Na*2
3328.1113,Gc_47+Fuc+Na*2
3474.1692,Gc_47+Fucx2+Na*2
3620.2271,Gc_47+Fucx3+Na*2
3766.285,Gc_47+Fucx4+Na*2
3262.0102,Gc_47+S+Na*2
3341.967,Gc_47+Sx2+Na*2
3051.9904,Gc_48+Na*2
3131.9472,Gc_48+S+Na*2
3211.904,Gc_48+Sx2+Na*2
3198.0484,Gc_49+Na*2
3344.1063,Gc_49+Fuc+Na*2
3490.1642,Gc_49+Fucx2+Na*2
3636.2221,Gc_49+Fucx3+Na*2
3782.28,Gc_49+Fucx4+Na*2
3278.0052,Gc_49+S+Na*2
3357.962,Gc_49+Sx2+Na*2
3165.0381,Gc_50+Na*2
3244.9949,Gc_50+S+Na*2
3324.9517,Gc_50+Sx2+Na*2
3311.096,Gc_51+Na*2
3457.1539,Gc_51+Fuc+Na*2
3603.2118,Gc_51+Fucx2+Na*2
3749.2697,Gc_51+Fucx3+Na*2
3895.3276,Gc_51+Fucx4+Na*2
3391.0528,Gc_51+S+Na*2
3471.0096,Gc_51+Sx2+Na*2
3181.033,Gc_52+Na*2
3260.9898,Gc_52+S+Na*2
3340.9466,Gc_52+Sx2+Na*2
3197.028,Gc_53+Na*2
3276.9848,Gc_53+S+Na*2
3356.9416,Gc_53+Sx2+Na*2
3343.0859,Gc_54+Na*2
3489.1438,Gc_54+Fuc+Na*2
3635.2017,Gc_54+Fucx2+Na*2
3781.2596,Gc_54+Fucx3+Na*2
3927.3175,Gc_54+Fucx4+Na*2
3423.0427,Gc_54+S+Na*2
3502.9995,Gc_54+Sx2+Na*2
3489.1438,Gc_55+Na*2
3635.2017,Gc_55+Fuc+Na*2
3781.2596,Gc_55+Fucx2+Na*2
3927.3175,Gc_55+Fucx3+Na*2
4073.3754,Gc_55+Fucx4+Na*2
3569.1006,Gc_55+S+Na*2
3649.0574,Gc_55+Sx2+Na*2
3359.0808,Gc_56+Na*2
3439.0376,Gc_56+S+Na*2
3518.9944,Gc_56+Sx2+Na*2
3505.1387,Gc_57+Na*2
3651.1966,Gc_57+Fuc+Na*2
3943.3124,Gc_57+Fucx3+Na*2
4089.3703,Gc_57+Fucx4+Na*2
3585.0955,Gc_57+S+Na*2
3665.0523,Gc_57+Sx2+Na*2
3634.1813,Gc_58+Na*2
3714.1381,Gc_58+S+Na*2
3794.0949,Gc_58+Sx2+Na*2
3780.2392,Gc_59+Na*2
4072.355,Gc_59+Fucx2+Na*2
4218.4129,Gc_59+Fucx3+Na*2
4364.4708,Gc_59+Fucx4+Na*2
3618.1864,Gc_60+Na*2
3764.2443,Gc_60+Fuc+Na*2
3698.1432,Gc_60+S+Na*2
3778.1,Gc_60+Sx2+Na*2
3764.2443,Gc_61+Na*2
3910.3022,Gc_61+Fuc+Na*2
4202.418,Gc_61+Fucx3+Na*2
3844.2011,Gc_61+S+Na*2
3924.1579,Gc_61+Sx2+Na*2
3650.1762,Gc_62+Na*2
3796.2341,Gc_62+Fuc+Na*2
3942.292,Gc_62+Fucx2+Na*2
3730.133,Gc_62+S+Na*2
3810.0898,Gc_62+Sx2+Na*2
2983.9408,Gc_37+Na*3
3063.8976,Gc_37+S+Na*3
3143.8544,Gc_37+Sx2+Na*3
3129.9987,Gc_38+Na*3
3276.0566,Gc_38+Fuc+Na*3
3422.1145,Gc_38+Fucx2+Na*3
3568.1724,Gc_38+Fucx3+Na*3
3209.9555,Gc_38+S+Na*3
3289.9123,Gc_38+Sx2+Na*3
3349.0729,Gc_39+Na*3
3495.1308,Gc_39+Fuc+Na*3
3641.1887,Gc_39+Fucx2+Na*3
3787.2466,Gc_39+Fucx3+Na*3
3933.3045,Gc_39+Fucx4+Na*3
3429.0297,Gc_39+S+Na*3
3508.9865,Gc_39+Sx2+Na*3
3495.1309,Gc_40+Na*3
3641.1888,Gc_40+Fuc+Na*3
3787.2467,Gc_40+Fucx2+Na*3
3933.3046,Gc_40+Fucx3+Na*3
4079.3625,Gc_40+Fucx4+Na*3
3575.0877,Gc_40+S+Na*3
3655.0445,Gc_40+Sx2+Na*3
3095.8874,Gc_43+S+Na*3
3175.8442,Gc_43+Sx2+Na*3
3161.9885,Gc_44+Na*3
3308.0464,Gc_44+Fuc+Na*3
3454.1043,Gc_44+Fucx2+Na*3
3600.1622,Gc_44+Fucx3+Na*3
3241.9453,Gc_44+S+Na*3
3321.9021,Gc_44+Sx2+Na*3
2999.9357,Gc_45+Na*3
3079.8925,Gc_45+S+Na*3
3159.8493,Gc_45+Sx2+Na*3
3145.9936,Gc_46+Na*3
3292.0515,Gc_46+Fuc+Na*3
3438.1094,Gc_46+Fucx2+Na*3
3584.1673,Gc_46+Fucx3+Na*3
3225.9504,Gc_46+S+Na*3
3305.9072,Gc_46+Sx2+Na*3
3187.0201,Gc_50+Na*3
3266.9769,Gc_50+S+Na*3
3346.9337,Gc_50+Sx2+Na*3
3333.078,Gc_51+Na*3
3479.1359,Gc_51+Fuc+Na*3
3625.1938,Gc_51+Fucx2+Na*3
3771.2517,Gc_51+Fucx3+Na*3
3917.3096,Gc_51+Fucx4+Na*3
3413.0348,Gc_51+S+Na*3
3492.9916,Gc_51+Sx2+Na*3
3203.015,Gc_52+Na*3
3282.9718,Gc_52+S+Na*3
3362.9286,Gc_52+Sx2+Na*3
3219.01,Gc_53+Na*3
3298.9668,Gc_53+S+Na*3
3378.9236,Gc_53+Sx2+Na*3
3365.0679,Gc_54+Na*3
3511.1258,Gc_54+Fuc+Na*3
3657.1837,Gc_54+Fucx2+Na*3
3803.2416,Gc_54+Fucx3+Na*3
3949.2995,Gc_54+Fucx4+Na*3
3445.0247,Gc_54+S+Na*3
3524.9815,Gc_54+Sx2+Na*3
3511.1258,Gc_55+Na*3
3657.1837,Gc_55+Fuc+Na*3
3803.2416,Gc_55+Fucx2+Na*3
3949.2995,Gc_55+Fucx3+Na*3
4095.3574,Gc_55+Fucx4+Na*3
3591.0826,Gc_55+S+Na*3
3671.0394,Gc_55+Sx2+Na*3
3381.0628,Gc_56+Na*3
3461.0196,Gc_56+S+Na*3
3540.9764,Gc_56+Sx2+Na*3
3527.1207,Gc_57+Na*3
3673.1786,Gc_57+Fuc+Na*3
3819.2365,Gc_57+Fucx2+Na*3
3965.2944,Gc_57+Fucx3+Na*3
4111.3523,Gc_57+Fucx4+Na*3
3607.0775,Gc_57+S+Na*3
3687.0343,Gc_57+Sx2+Na*3
3656.1633,Gc_58+Na*3
3736.1201,Gc_58+S+Na*3
3802.2212,Gc_59+Na*3
3948.2791,Gc_59+Fuc+Na*3
4094.337,Gc_59+Fucx2+Na*3
4240.3949,Gc_59+Fucx3+Na*3
3962.1348,Gc_59+Sx2+Na*3
3640.1684,Gc_60+Na*3
3786.2263,Gc_60+Fuc+Na*3
3932.2842,Gc_60+Fucx2+Na*3
3720.1252,Gc_60+S+Na*3
3800.082,Gc_60+Sx2+Na*3
3786.2263,Gc_61+Na*3
3932.2842,Gc_61+Fuc+Na*3
4078.3421,Gc_61+Fucx2+Na*3
4224.4,Gc_61+Fucx3+Na*3
4370.4579,Gc_61+Fucx4+Na*3
3866.1831,Gc_61+S+Na*3
3946.1399,Gc_61+Sx2+Na*3
3672.1582,Gc_62+Na*3
3964.274,Gc_62+Fucx2+Na*3
3832.0718,Gc_62+Sx2+Na*3
3678.1453,Gc_58+Na*4
3758.1021,Gc_58+S+Na*4
3838.0589,Gc_58+Sx2+Na*4
3824.2032,Gc_59+Na*4
3970.2611,Gc_59+Fuc+Na*4
4116.319,Gc_59+Fucx2+Na*4
4262.3769,Gc_59+Fucx3+Na*4
4408.4348,Gc_59+Fucx4+Na*4
3904.16,Gc_59+S+Na*4
3984.1168,Gc_59+Sx2+Na*4
3662.1504,Gc_60+Na*4
3808.2083,Gc_60+Fuc+Na*4
3954.2662,Gc_60+Fucx2+Na*4
3742.1072,Gc_60+S+Na*4
3822.064,Gc_60+Sx2+Na*4
3808.2083,Gc_61+Na*4
3954.2662,Gc_61+Fuc+Na*4
4100.3241,Gc_61+Fucx2+Na*4
4246.382,Gc_61+Fucx3+Na*4
4392.4399,Gc_61+Fucx4+Na*4
3888.1651,Gc_61+S+Na*4
3968.1219,Gc_61+Sx2+Na*4
3694.1402,Gc_62+Na*4
3840.1981,Gc_62+Fuc+Na*4
3986.256,Gc_62+Fucx2+Na*4
3774.097,Gc_62+S+Na*4
